Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count
"Caldwell, Missouri, US",United States,Missouri,Caldwell,US,USA,29025,39.65620858,-93.98308093,9020
"Candler, Georgia, US",United States,Georgia,Candler,US,USA,13043,32.40209349,-82.07702563,10803
"Hockley, Texas, US",United States,Texas,Hockley,US,USA,48219,33.60771256,-102.3431676,23021
"Iowa, Wisconsin, US",United States,Wisconsin,Iowa,US,USA,55049,43.00050278,-90.13469017,23678
"Jackson, Arkansas, US",United States,Arkansas,Jackson,US,USA,5067,35.59802983,-91.21494602,16719
"Logan, North Dakota, US",United States,North Dakota,Logan,US,USA,38047,46.45729487,-99.47719806,1850
"Boone, West Virginia, US",United States,West Virginia,Boone,US,USA,54005,38.01974191,-81.69888019,21457
"Mineral, Colorado, US",United States,Colorado,Mineral,US,USA,8079,37.66954283,-106.9281698,769
"Snohomish, Washington, US",United States,Washington,Snohomish,US,USA,53061,48.04615983,-121.7170703,822083
"White, Tennessee, US",United States,Tennessee,White,US,USA,47185,35.92929884,-85.45591799,27345
"Finney, Kansas, US",United States,Kansas,Finney,US,USA,20055,38.04340344,-100.7381938,36467
"Grady, Georgia, US",United States,Georgia,Grady,US,USA,13131,30.87454847,-84.23418364,24633
"Fergus, Montana, US",United States,Montana,Fergus,US,USA,30027,47.26331584,-109.2245206,11050
"Lauderdale, Mississippi, US",United States,Mississippi,Lauderdale,US,USA,28075,32.40419769,-88.66229662,74125
"Delaware, Pennsylvania, US",United States,Pennsylvania,Delaware,US,USA,42045,39.91680171,-75.40243663,566747
"Carroll, Arkansas, US",United States,Arkansas,Carroll,US,USA,5015,36.3403856,-93.54270261,28380
"Logan, Illinois, US",United States,Illinois,Logan,US,USA,17107,40.12581572,-89.36638784,28618
"Lake, Michigan, US",United States,Michigan,Lake,US,USA,26085,43.99050893,-85.802173,11853
"Pottawattamie, Iowa, US",United States,Iowa,Pottawattamie,US,USA,19155,41.33640314,-95.53907776,93206
